#{"t_start": 1664975742.4017158, "env_id": null}
r,l,t
-51.0,51,38.094271
-51.0,51,38.195364
-51.0,51,38.229475
-51.0,51,38.235529
-51.0,51,38.252731
-51.0,51,38.372477
-51.0,51,38.422368
-51.0,51,38.428873
-51.0,51,38.446775
-51.0,51,38.562062
-51.0,51,38.617266
-51.0,51,38.626272
-51.0,51,38.64544
-51.0,51,38.747651
-51.0,51,38.791911
-51.0,51,38.800173
-17.0,17,38.812209
-51.0,51,38.824601
-49.0,49,38.962691
-51.0,51,38.982623
-51.0,51,38.995483
-51.0,51,39.008381
-27.0,27,39.091487
-51.0,51,39.149612
-51.0,51,39.179868
-51.0,51,39.192829
-51.0,51,39.26774
-51.0,51,39.340712
-51.0,51,39.362262
-51.0,51,39.371511
-44.0,44,39.424811
-51.0,51,39.538981
-51.0,51,39.56977
-51.0,51,39.58297
-51.0,51,39.642643
-5.0,5,39.664418
-51.0,51,39.743992
-51.0,51,39.764489
-51.0,51,39.773256
-51.0,51,39.83664
-51.0,51,39.902572
-51.0,51,39.932392
-51.0,51,39.944805
-51.0,51,40.026669
-51.0,51,40.11351
-51.0,51,40.138332
-51.0,51,40.147069
-51.0,51,40.203539
-51.0,51,40.296212
-51.0,51,40.324369
-51.0,51,40.333987
-51.0,51,40.395451
-51.0,51,40.472903
-51.0,51,40.493633
-51.0,51,40.507618
-51.0,51,40.579447
-51.0,51,40.64171
-51.0,51,40.671616
-51.0,51,40.685443
-51.0,51,40.771969
-26.0,26,40.804595
-51.0,51,40.873083
-51.0,51,40.904744
-51.0,51,41.008028
-51.0,51,41.040339
-51.0,51,41.109101
-51.0,51,41.144147
-24.0,24,41.152152
-51.0,51,41.233984
-34.0,34,41.25069
-37.0,37,41.284124
-51.0,51,41.329717
-18.0,18,41.354578
-51.0,51,41.42078
-51.0,51,41.442431
-51.0,51,41.534523
-51.0,51,41.554491
-51.0,51,41.615415
-51.0,51,41.630391
-26.0,26,41.645293
-17.0,17,41.67226
-51.0,51,41.723286
-51.0,51,41.838834
-51.0,51,41.857255
-44.0,44,41.857323
-51.0,51,41.913531
-51.0,51,42.016171
-51.0,51,42.037986
-51.0,51,42.038042
-51.0,51,42.12039
-51.0,51,42.231323
-51.0,51,42.2523
-51.0,51,42.252353
-51.0,51,42.330983
-25.0,25,42.355706
-51.0,51,42.448144
-51.0,51,42.473936
-15.0,15,42.543857
-51.0,51,42.56059
-27.0,27,42.573194
-51.0,51,42.586418
-51.0,51,42.776274
-51.0,51,42.796782
-51.0,51,42.810661
-51.0,51,42.823714
-51.0,51,42.99495
-51.0,51,43.007805
-51.0,51,43.016894
-5.0,5,43.022535
-51.0,51,43.025465
-17.0,17,43.094972
-51.0,51,43.208095
-48.0,48,43.226703
-51.0,51,43.249575
-51.0,51,43.329911
-51.0,51,43.440333
-51.0,51,43.456499
-51.0,51,43.478808
-51.0,51,43.555502
-51.0,51,43.656442
-51.0,51,43.673158
-51.0,51,43.694061
-51.0,51,43.764537
-42.0,42,43.825547
-51.0,51,43.877588
-51.0,51,43.894999
-51.0,51,43.961146
-51.0,51,44.022094
-24.0,24,44.060285
-10.0,10,44.06445
-51.0,51,44.076997
-51.0,51,44.09782
-10.0,10,44.133188
