#{"t_start": 1658417775.9753768, "env_id": null}
r,l,t
2.0,199,90.283443
2.0,199,90.810182
1.0,199,90.810243
1.0,199,90.810252
1.0,199,90.81026
1.0,199,91.342104
2.0,199,91.342163
1.0,199,91.342172
2.0,199,91.342179
1.0,199,91.867896
1.0,199,91.867952
1.0,199,91.867961
1.0,199,91.867968
1.0,199,92.391708
1.0,199,92.391775
1.0,199,92.391785
2.0,199,92.391791
1.0,199,92.90463
1.0,199,92.904687
2.0,199,92.904697
2.0,199,92.904704
1.0,199,93.433806
2.0,199,93.433875
2.0,199,93.433885
1.0,199,93.433891
1.0,199,93.950546
1.0,199,93.950604
1.0,199,93.950613
1.0,199,93.950621
1.0,199,94.475818
1.0,199,94.475884
1.0,199,94.475894
1.0,199,94.4759
1.0,199,94.989843
1.0,199,94.989896
1.0,199,94.989906
2.0,199,94.989913
1.0,199,95.511582
1.0,199,95.51165
1.0,199,95.51166
1.0,199,95.511668
1.0,199,96.029797
1.0,199,96.029858
1.0,199,96.029867
1.0,199,96.029877
1.0,199,96.539293
1.0,199,96.539365
1.0,199,96.539378
1.0,199,96.539386
1.0,199,97.051196
2.0,199,97.051258
2.0,199,97.051271
1.0,199,97.05128
1.0,199,97.56257
1.0,199,97.562637
1.0,199,97.562649
1.0,199,97.562657
1.0,199,98.072724
1.0,199,98.072794
1.0,199,98.072806
1.0,199,98.072814
1.0,199,98.580449
1.0,199,98.580517
1.0,199,98.580529
1.0,199,98.580537
2.0,199,99.093601
1.0,199,99.093669
1.0,199,99.09368
1.0,199,99.093689
1.0,199,99.602828
1.0,199,99.602896
1.0,199,99.602907
2.0,199,99.602916
1.0,199,100.123463
1.0,199,100.12353
1.0,199,100.123541
1.0,199,100.12355
1.0,199,100.645597
1.0,199,100.645665
1.0,199,100.645678
1.0,199,100.645687
1.0,199,101.164253
1.0,199,101.164314
1.0,199,101.164326
1.0,199,101.164334
1.0,199,101.694459
2.0,199,101.694519
1.0,199,101.694531
1.0,199,101.694539
1.0,199,102.21665
1.0,199,102.216714
1.0,199,102.216726
1.0,199,102.216735
1.0,199,102.730225
1.0,199,102.730286
1.0,199,102.730297
1.0,199,102.730306
1.0,199,103.254156
1.0,199,103.25422
1.0,199,103.254234
1.0,199,103.254245
1.0,199,103.76974
1.0,199,103.769806
1.0,199,103.769818
1.0,199,103.769827
1.0,199,104.293791
1.0,199,104.293856
1.0,199,104.293867
1.0,199,104.293875
1.0,199,104.814058
1.0,199,104.814123
1.0,199,104.814134
1.0,199,104.814143
1.0,199,105.326138
1.0,199,105.326208
1.0,199,105.32622
1.0,199,105.326229
1.0,199,105.836878
1.0,199,105.83694
1.0,199,105.836954
1.0,199,105.836962
1.0,199,106.347019
1.0,199,106.347089
1.0,199,106.347103
1.0,199,106.347112
1.0,199,106.865103
1.0,199,106.865175
1.0,199,106.865187
1.0,199,106.865196
1.0,199,107.385393
1.0,199,107.385461
1.0,199,107.385472
1.0,199,107.38548
1.0,199,107.763488
1.0,199,107.763559
1.0,199,107.76357
1.0,199,107.763578
1.0,199,108.301406
1.0,199,108.301472
1.0,199,108.301484
1.0,199,108.301492
1.0,199,108.82024
1.0,199,108.820302
1.0,199,108.820314
1.0,199,108.820322
1.0,199,109.336941
1.0,199,109.337006
1.0,199,109.337018
1.0,199,109.337026
1.0,199,109.855778
1.0,199,109.855838
1.0,199,109.85585
1.0,199,109.855858
1.0,199,110.372325
1.0,199,110.372395
1.0,199,110.372407
1.0,199,110.372415
1.0,199,110.889413
1.0,199,110.889474
1.0,199,110.889485
1.0,199,110.889494
1.0,199,111.414323
1.0,199,111.4144
1.0,199,111.414413
1.0,199,111.414422
1.0,199,111.937087
